Palabra	Texto	Folio	Página
capitan/capitanes	teniendo <i>quenta</i> [el señor que los governava] en los <i>yndios</i> que avia para dar tributos enviava <i>yngas</i> de sus <b>capitanes</b> los mas viejos para que tubiesen <i>quenta y raçon</i> en las heredades y tierras y se las repartio a cada uno de los <i>yndios</i> y dexo tierras para serviçio de los <i>tanbos reales</i> que son <i>casas</i> que estan por los <i>caminos</i> en cada <i>provinçia</i>. 	44r	193
capitan/capitanes	Y estando [Guayna Capac] en el <i>Cuzco</i> quieto y paçifico inieronle nuevas que los <i>chonos</i> y <i>guancavilcas</i> en La Culata se le avian revelado contra su <i>governador</i> <i>señor</i> de <i>La Puna</i>. Aperçivio toda su gente de guerra y toma sus <b>capitanes</b> e ynbialos que bayan haçia [a]lla poco a poco y el quedose en el <i>Cuzco</i> con su hijo el <i>Guascar</i> que era el mayorazgo y ordeno que quedasen por sus ayos y <i>governadores</i> <i>Ylla Oma Tizo</i>, su primo <i>Yupangui</i>, tambien su primo <i>señor</i> de <i>Urcos</i> y [de] <i>Moyna</i>. 	46v	198
carangas/carangues	porque yo no les alle mas raçon ni saber de los tienpos pasados de hasta la edad de <i>Topa Ynga Yupangui</i> que fue su padre de <i>Gu[a]inacaba</i> porqueste fue el primero en gran nobleça y los administro y governo en quieta paz y sosiego y conquisto toda la tierra hasta <i>Chile</i> y destotro cabo hasta los <b>carangas</b> ques cavo <i>pastos</i> y pasto y los puso en sacar oro y plata aunque dizen que de mucho tienpo los avian y los enpuso en afinar los metales de oro y de plata y conoçio el cobre y el estaño 	43r	191
carangas/carangues	[Guaynacava] yba visitando toda la tierra haçia <i>Quito</i> por todos los <i>puruaes</i> y llegado a <i>Quito</i> supo que estava un <i>señor</i> que se llamava <i>Otavalo</i> y señoreaba los <b>carangas</b> y posto [sic por <i>pastos</i>] y va sobre el con toda su gente y el otro saliole a reçevir con mucha gente açerca de una laguna frontero de una <i>provinçia</i> que llaman <i>Mira</i> y alli junto a la laguna se dieron una vatalla entranvos a dos que dizen ser la cosa mas reñida que entre <i>yndios</i> se vio	47v	200
carangas/carangues	envio gente el <i>Guaynacava</i> a los <b>carangues</b> y <i>pastos</i> y truxolos de paz. Puso en orden toda la tierra y debaxo de su <i>señorio</i> y puso por las <i>provinçias</i> y valles <i>governadores</i> y anduvose mirando toda la tierra y holgandose.	47v	200
carneros	y por un sermon que pedrico [sic por predicó] el regente que fue por obispo a las <i>Charcas</i> que dixo matasen a todos y no quedase nynguno hiçose un rastro de cuerpos muertos mas que de puercos y <b>carneros</b> se haçen en una <i>çiudad</i> sin los que mataron los <i>naturales</i> por los campos por un mandamiento que Vaca de Castro les dio a los <i>yndios</i> que los matasen y no miravan si heran de los de <i>[C]hile</i> o de los suyos hasta que se allaron algunos algunos muertos y ser de los suyos	32r	168
Carrochanbo/Carrochanva	y el caminó y se fue la buelta de los <i>guambos</i> <i>Guancabanba</i> y se fue haçia los <i>paltas</i> y los <i>capitanes</i> que por los llanos venian se subieron por <i>Caxas</i> y los enbio que fuesen haçia <b>Carrochanbo</b> y se bajasen a <i>Tunbez</i> y el se fue a bajar por los <i>morletudos</i> questan como los canales [sic por <i>cañares</i>]	47r	199
Carrochanbo/Carrochanva	De alli [Atabalipa] fue conquistando los <i>paltas</i> <b>Carrochanva</b> hasta que llego a <i>Cajamarca</i> y envio a los <i>chachapoyas</i> gente que la conquistasen o trogesen de paz	48v	202
casa de Ynga	Benimos al valle de Hincha [sic por <i>Chincha</i>] y Almagro fuese de alli hazia el valle de <i>Uymay</i> a do tenia hecho un <i>pueblo</i> y subiose a un asiento y <b>casa de ynga</b> que se dize <i>Limaycasca</i>.	26v	157
casa/casas	Visto el pobre <i>señor</i> [Mango Inga] el poco remedio que tenia y no tener a quien se quexar, visto ser robada su <b>casa</b> y forçadas sus <i>mugeres</i>, se fuyo [sic por huyó] al balle del <i>Tanpo</i>, apellido todo el <i>reino</i> y puso cerco sobre el <i>Cusco</i>. 	18v	141
casa/casas	si no fuera por Pedro de Lerma … honrado capitan y diestro de la guerra de los <i>yndios</i>, los lanzaban del çerco y los echaban de alrededor de la <i>çibdad</i> tubieron una ardil [sic por ardid] de guerra que sacaron el agua del río [Rimac] y la echaron por vna çequia grande por toda la <i>çibdad</i> [Los Reyes] y como la <i>çibdad</i> se sirve por caños de agua para serviçio de las <b>casas</b> y huertas y heredades repartieronlo por todas estas partes y anegabase la <i>çibdad<i>; proueyo Pedro de Lerma como capitan y embio gente al rrio arriba y el sale por otra parte a vn çerro que esta sobre la <i>çibdad</i> a do agora esta la calera y dan [en] los <i>yndios</i> con ciertos soldados y desbaratalos 	19r	142
casa/casas	Y como lo supo [Almagro], mandole çercar la <b>casa</b> que hera vn <i>galpon de yndios</i> y manda que le prendan [a Hernando Pizarro]. No falto algun bellaco de la gente del Adelantado [Almagro] por do se quemo el <i>galpon</i> y le prendieron. Mando [Almagro] hazer ynformaçion contra el [Hernando Pizarro] por los malos tratamientos del <i>ynga</i> y rouos que avian hecho; allo tantas cosas contra el que se espantavan; y Hernando Piçarro, algunas joyas conoçidas de oro y plata y las ropas del <i>ynga</i>, mando dar a Diego Maldonado, alcalde, que las tuviese en deposito para dar su residençia en su tiempo.	21v	147
casa/casas	Como <i>Guainacava</i> estuviese en <i>Quito</i> quiso haçer y fundar otro <i>Cuzco</i> en la <i>provinçia</i> de los <i>cañares</i> que llaman el <i>tanvo</i> de las piedras y mandava alli llegar muchas piedras para haçer su <b>casa</b> y el andabase olgando y paseandose	48r	201
casa/casas	Llegaron los christianos a <i>Cajamarca</i> y pusieronse en el <i>tanbo real</i> y su artilleria en un asiento alto y <i>adoratorio</i>. Era Candia capitan del artilleria y el <i>Atabalipa</i> estava un poco mas adelante en otras <b>casas</b> con toda su gente 	49r	203
casa/casas	que Su Magestad mande poblar la tierra, dar a los que lo meresçieren y que aya alguaziles por los <i>tanbos</i> y <b>casas</b> del <i>camino real</i> que los anpare y faboresca para que bendan sus aziendas y comidas y alpargatas y otras cosas a los que pasaren por los <i>caminos</i>	50v	206
casa/casas	Mando haçer junto [a] aquellas <b>casas</b> en lo alto en la sierra unas como camarillas [sic por <i>depositos</i>] por su orden por toda la sierra para depositar y poner lana, ropa <i>ojotas</i> <i>guaracas</i> y otras cosas que en las <i>provinçias</i>pudiesen aver carne seca que ellos llaman <i>charque</i>, <i>papas secas</i>  que ellos llaman - <i>chuño</i>, <i>oca</i>, <i>maiz</i> de todas las cosas que en las <i>provinçias</i> avia haçia poner en aquellos <i>depositos</i>	44r-44v	193-194
casa/casas	tanbien ordeno que de aquellos mesmos <i>yndios</i> mas flacos e <i>yndias</i> de todo lo que se trebutase en las <i>probinçias</i> quedasen para serviçio para llebar de su misma tierra los tributos hasta el otro <i>pueblo</i> y de alli se volviesen a su tierra lo quel mando que se le llebase al <i>Cuzco</i> que lo demas mando poner en los <i>depositos</i> y mando poner <i>yndios</i> que lo guardasen y mirasen y remediasen las <b>casas</b> que no se llobiesen ni obiese ratones ni otras suçiedades que destruyesen la comida	45r	195
casa/casas	teniendo <i>quenta</i> [el señor que los governava] en los <i>yndios</i> que avia para dar tributos enviava <i>yngas</i> de sus <i>capitanes</i> los mas viejos para que tubiesen <i>quenta y raçon</i> en las heredades y tierras y se las repartio a cada uno de los <i>yndios</i> y dexo tierras para serviçio de los <i>tanbos reales</i> que son <b>casas</b> que estan por los <i>caminos</i> en cada <i>provinçia</i>. 	44r	193
casas de los caminos reales 	y a estos mudados les haçia servir en las <b>casas de los caminos reales</b> que los <i>yndios</i> les llamavan <i>mitayos</i>. Partio los terminos a las <i>provinçias</i> y a los valles y señaloles hasta a donde avian de adereçar el <i>camino real</i> y a cada <i>parçialidad</i> y <i>señor prinçipal</i> que en las <i>provinçias</i> avia por su cuenta y <i>quipo</i> quellos llamavan, hasta adonde avia de adereçar el <i>camino</i> cada <i>parçialidad</i>	43v	192
casas de los caminos reales 	y al que le cupiese y pertenesçiese aderezar el <i>camino</i> lo tubiese adereçado y los <i>tanbos reales</i> y <b>casas de los caminos reales</b> estubiesen adereçados y proveydos de manera que todos tubiesen <i>justiçia y raçon</i>	46r	197
casas del sol	aquella comida que en los <i>depositos</i> mandaba poner y ropa la que no fuese lana fina fuese para serviçio de los <i>yndios</i> de guerra e <i>yndias</i> que lo sirviesen. Puso en las <b>casas del sol</b> <i>señoras</i> que ellos llamaban paclas manaconas [sic por <i>pallas mamaconas</i>] para serviçio del sol y questas hiçiesen sus brevajes para quando fuesen a sacrificar al sol en sus tiempos conoçidos y questas <i>señoras</i> sirviesen tanbien que los <i>señores yngas</i> que alli fuesen partiçipaban con ellas e si se enpreñaban e parian hijas quedavanse alli y si hombres sacavanlos de alli des - pues de criados para la guerra	45r-45v	195-196
casas del sol	tubieron otra zerimonia los <i>yngas</i> y <i>señores</i> y fue que en una laguna questa en <i>Urcos</i>, ocho leguas o diez del <i>Cuzco</i>, sacaban agua della y en una pila que alli estava de piedra se labavan quando enpeçava a ser de dia aquellos <i>señores</i> que yban al sacrefiçio porque dezian que avia de entrar linpios en aquellas zerimonias y <b>casas del sol</b>.	45v	196
Caxamarca	proveyeron los vezinos de Truxillo a Lorenço de - Aldana de comida los navios que traya. Subiose Diego de Mora a <b>Caxamarca/b> para Gomez de Alvarado	39r - 39v	183 - 184
Caxamarca	Salio el presidente [Gasca] de <i>Tunbez</i>. Se bino haçia San Miguel y de alli se bino a los terminos de Truxillo y por el <i>camino</i> de <i>Zaña</b> encamino toda la gente haçia <b>Caxamarca</b> y se bino el a Truxillo	39v	184
Caxamarca	y asi se fue caminando hasta llegar a <b>Caxamarca</b> y de alli enbio a ofreçer a las <i>guacas</i> y <i>oratorios</i> de Truxillo y el que fue se encontro con el otro <i>capitan</i> que benia por los llanos y se fueron la buelta de San Miguel despues de aber echo lo que <i>Guaynacava</i> les avia mandado	47r	199
Caxas	los que no fueron con el [Hernando Piçarro], asento real el tirano [Gonçalo Piçarro] en <i>Xayanca<i> … y como supiese deste traydor el bisorrey que quedava el tirano {Gonçalo Piçarro] en <i>Xayanca</i> con toda la tierra muy bien aperçebido, quiso el bisorrey saver la gente que tenia y allola ser flaca y poca y mal aperzevida y enbio a llamar a Bela Nuñez, su hermano, que andava haçia <i>Payta</i> recogiendo alguna gente y avisale que se suba haçia los <i>paltas</i> quel se subera por <b>Caxas</b> y se juntaran alla en la sierra	35v	175
Caxas	y el caminó y se fue la buelta de los <i>guambos</i> <i>Guancabanba</i> y se fue haçia los <i>paltas</i> y los <i>capitanes</i> que por los llanos venian se subieron por <b>Caxas</b> y los enbio que fuesen haçia <i>Carrochanbo</i> y se bajasen a <i>Tunbez</i> y el se fue a bajar por los <i>morletudos</i> questan como los canales [sic por <i>cañares</i>]	47r	199
chachapoes/chachapoyas	pues como luego se sonase por toda la tierra la muerte de aquel governador porque como don Diego fue reçevido enbio a los <b>chachapoyas</b> [a] Alonso de Alvarado un mensajero y al <i>Cuzco</i> otro de como el no queria enojar a ningun vezino en la tierra sino que todo estuviese en paz.	30v	165
chachapoes'/chachapoyas'	[Lerma] avia puesto su vida en defender la <i>ciudad</i>, él y sus amigos; salió Alonso de Albarado de su entrada de los chuchapes [sic <b>chachapoes</b>] y binose a Truxillo y de Truxillo fuese a <i>Lima</i> y binose a <i>Lima</i>; como llegase con su gente acordo se fuese al <i>Cuzco</i> a socorrerle...	20r	144
chachapoes'/chachapoyas'	tampoco lo quiso hazer [Alonso de Alvarado] ni dexarle pasar la puente - sino defenderla y puso a vn Juan Perez de Gueuara, vecino en los <b>chachapoyas</b> en el <i>Peru</i>. y como vido esto Ordonez hecho a nado con sus quarenta hombres y prendio a Alvarado y enviole a el adelantado [Almagro] al <i>Cuzco</i>.	22r	148
chachapoes'/chachapoyas'	salimos luego de <i>Lima</i> en el mes de março y fuimonos haçia el <i>Cuzco</i> por <i>Xauja</i> y tuvimos cartas de Hernando Piçarro como avia dado la vatalla [a] Almagro en las salinas del <i>Cuzco</i> … y como en el <i>Cuzco</i> aviendose venido el capitan Pedro de Lerma a se curar avia entrado en su posada un Samaniego ... este Samaniego y otros dos de los <b>chachapoyas</b> que oy son vibos van a su posada y le acavaron de matar a estocadas estando Hernando Piçarro en el <i>Cuzco</i> y todos sus capitanes.	28r	160
chachapoes'/chachapoyas'	Envio [Hernando Piçarro] sus capitanes y repartioles la tierra porque enbio [a] Alonso de Alvarado a los <b>chachapoyas</b> [a] su conquista y a Horbina a La Culata y a Pero Ançules envio a los <i>moxos</i> y con ellos mucha gente de la de don Diego de Almagro y a Bergara a los <i>gracamoros</i> y a Mercadillo a los <i>chupachos</i> y a todos los encargo los soldados que le avian servido en aquella vatalla [contra Almagro]	28v	161
chachapoes/chachapoyas	fue ocasión de destruir aquel misero bando de Almagro y favoresçer a los mas culpados poblo el governador Piçarro muchos de sus amigos en el <i>Cuzco</i> y los <i>charcas</i> que avia poblado Hernando Piçarro, <i>Ariquipa</i> o a <i>Guamanga</i>, <b>chachapoyas</b> La Culata y en <i>Quito</i> y en Trujillo entremetio algunos y en San Miguel de sus amigos de los que avian sido con el en la vatalla	29v	163
Chachapoias/Chachapoes	Pues como ubiese ido a España rico un clerigo Soza y entendiese que Su Magestad daba licencia a Hernando Piçarro que volviese al <i>reyno</i> de <i>Peru</i> porque hera hombre de malas entrañas y podria venir mucho daño a estos <i>reinos</i> por su causa pues, como el Marqués [Francisco Pizarro] se bajase del <i>Cusco</i> a la <i>çibdad</i> de Los Reyes y hallase mucha gente y caballeros, a todos los que heran de su tierra remediaba, como a Garçilaso de la Vega dio la entrada a la baya de Jabateus y Çahera a La Culata y a Francisco de Chaves enbio a San Miguel que hiziese gente y se metiese en los Bracamoros [sic por <i>Pacamuru</i>] y [a] Alonso de Albara[do] embio a rio <b>Chachapoias</b>; y toda la demas que quedo dio licencia que se fuesen al <i>Cusco</i> para ir con Almagro a <i>Chile</i> y desta manera sustentaba la tierra muy quietamente.	17r	138
Chachapoias/Chachapoes	[El governador Francisco Piçarro conminó a] Alonso de Alvarado, que andaba conquistando el <b>Chachapoes</b> que se viniesen y aviso a los vecinos de Truxillo despoblasen el pueblo y se fuesen a <i>Lima</i> porque estaba en terminos de se perder la tierra … despacho a Juan de Berrio que fuere a <i>Panama</i> y hiziese gente y con brevedad se beniese. Escreuio a <i>Nicaragua</i> le encaminase quanta gente pudiese que estaba la tierra en terminos de se perder.	19v	143
chachapoyanos	El governador Piçarro antes que muriese avia proveydo de capitan a un Pero Alvarez Oliguin que avia sido amigo del adelantado Almagro por capitan que se entrase a los <i>moxos</i> y los poblase. Con alguna gente enviaron los vezinos del <i>Cuzco</i> por el y ue viniese a bolver por ellos y fuese su capitan ofreçiendole dineros y armas y cavallos y todo lo que quisiese y que lebantase bandera y les favorezca en sonbre de su magestad e ajuntaron la gente que pudieron y avaxaronse haçia <i>Xauxa</i> Alonso de Alvarado y sus <b>chachapoyanos</b>.	30v	165
chachapoyanos	alçanse todos por Su Magestad porque en La Zarça se alço Mercadillo aunque dizen a dos voluntades y Diego de Mora y Truxillo y Gomez de Alvarado y <i>chachapoyas</i> y los vezinos del Guanaco [sic por <i>Guanuco</i>] se alçaron y se vinieron a juntar a <i>Cajamarca</i> con los <b>chachapoyanos</b> Gomez de Alvarado 	39r	183
Chachapoyas	Probeyo a Hernan de Alvarado por capitan a Truxillo <b>Chachapoyas</b> tomase de la caja de Vuestra Magestad dineros e hiçiese gente	33r	170
Chachapoyas	Çepeda y el tirano Gonçalo Piçarro, como supieron quel bisorrey benia haçia San Miguel con gente, despacharon quatro o çinco capitanes y que bieniesen haçiendo gente haçia Truxillo y San Miguel en que fuera uno un Billegas y un Manuel Destaçio, hermano de Gomez de Estaçio, el que salio al bisorrey en <i>Tunbez</i> y el tirano de Gonçalo Diaz, que se huyo desde <i>Guadachili</i> y escrivio a Hernando de Alvarado el que envio el bisorrey a Truxillo y <b>Chachapoyas</b> [a] haçer gente	34v	173
Chachapoyas	[Gasca] se subio por <i>Santa</i> a <i>Guaylas</i> a do se junto con el toda la gente de <b>Chachapoyas</b> y <i>Guanoco</i> y Truxillo con la que el traia de <i>Panama</i> a donde se supo - de un desbarate de Diego Zenteno en <i>Guarena</i> y de la grande matança que avia hecho Caravajal con la arcabuzeria	39v - 40r	184 - 185
chachapoes/chachapoyas	savido por el <i>Guascar</i> y por sus tios, adereçan su gente y vienen a reçevirle a la puente de <i>Apurima</i> y alli le desvarataron y bolvio fuyendo [sic por huyendo]. Yba tras el el <i>señor</i> de <i>Urcos</i> y <i>Moyna</i> con mucha gente. Yvale dando alcanze y el fuese retrayendo azia <i>Jauxa</i> creyendo que los <i>guancas</i> le favoreszerian y al fin fuese retrayendo haçia los <b>chachapoyas</b>	48r	201
chachapoes/chachapoyas	yendo sobre el aquel <i>señor</i> se metio por aquella tierra adentro de los <b>chachapoyas</b> y metiose por un rio avajo y paso de la otra vanda adonde supieron que [a]via poblado una <i>provinçia</i>.	48r	201
chachapoes/chachapoyas	De alli [Atabalipa] fue conquistando los <i>paltas</i> <i>Carrochanva</i> hasta que llego a <i>Cajamarca</i> y envio a los <b>chachapoyas</b> gente que la conquistasen o trogesen de paz	48v	202
chachapoes/chachapoyas	alçanse todos por Su Magestad porque en La Zarça se alço Mercadillo aunque dizen a dos voluntades y Diego de Mora y Truxillo y Gomez de Alvarado y <b>chachapoyas</b> y los vezinos del Guanaco [sic por <i>Guanuco</i>] se alçaron y se vinieron a juntar a <i>Cajamarca</i> con los <i>chachapoyanos</i> Gomez de Alvarado 	39r	183
Charcas	"Entrebino en el conçierto Fuenmayor y el liçençiado de la Gama y un padre Vovadilla prouinçial de La Merçed fue el conçierto que se soltase a Hernando PIçarro y se fuese a España y llevase poderes de entranvos a dos governadores y el oro y plata que estaba en <i>Chincha/i> el thesorero Riquelme que se avia traido de
<i>Chile</i> y allaron en el <i>Cuzco</i> y que se diese a Almagro navio para que embiase a España sus recaudos y que se pusiese en el <i>Cuzco</i> un corregidor por Su Magestad que no acudiese a algun governador de los dos sino que residiese en aquella judicatud hasta que Su Magestad proueyese de una persona cavallero les partiese las governaçiones y Almagro se fuese a las <b>Charcas</b> y Piçarro se volviese a la <i>çibdad</i> de Los Reyes."	25r	154
Charcas	saliose Hernando Piçarro del <i>Cuzco</i> y fuese a las <b>Charcas</b> y dio de comer alla a sus amigos y tomo la mina de <i>Porco</i> para si y los señores <i>[c]hichas</i> que dizen aver mas de quinçe mil <i>yndios</i> 	28v	161
Charcas	que Garcia de Alvarado mato a Sotelo en el <i>Cuzco</i> y despues Juan Valsa le mato a el y es verdad  dios que se quiso uyr el <i>ynga</i> (quand) el desdichado de don Diego, biendo las cosas que sus capitanes haçian. Antes que muriese Juan de Herrada avia enviado a aquel Sotelo a las <b>Charcas<b> y avia muerto alla a un corregidor que se llamaba Diego de Almendras y puso otro en nonbre de don Diego y binose al <i>Cuzco</i>.	31v	167
Charcas	y por un sermon que pedrico [sic por predicó] el regente que fue por obispo a las <b>Charcas</b> que dixo matasen a todos y no quedase nynguno hiçose un rastro de cuerpos muertos mas que de puercos y <i>carneros</i> se haçen en una <i>çiudad</i> sin los que mataron los <i>naturales</i> por los campos por un mandamiento que Vaca de Castro les dio a los <i>yndios</i> que los matasen y no miravan si heran de los de <i>[C]hile</i> o de los suyos hasta que se allaron algunos algunos muertos y ser de los suyos	32r	168
Charcas	a Christobal - de Barrientos, vezino de Truxillo que supo aver sido alcalde porque diese residençia, pues como fue llegado Vaca de Castro a la <i>çiudad</i> de Los Reyes lo envarco el visorrey [Blasco Núñez Vela] en un navio y como luego se supiese en toda la tierra por cartas y en <i>Guamanga</i> los que avian benido con el del <i>Cuzco</i> le avian cometido se alzase por governador en la tierra y les paresçio no tener aparejo, se volvieron al <i>Cuzco</i> y llevaron el artilleria que don Diego avia hecho. Hiçieron llamamiento a Gonçalo Piçarro questaba en las <b>Charcas</b> en sus <i>yndios</i> que avia salido desbaratado de la entrada de La Canela y que lo querian enviar al visorrey por procurador a suplicar de las provisiones que traian de Su Magestad y que debajo de aquella color podian prender al bisorrey y a sus oydores y que quedaria el en la tierra por governador y se vino con toda la gente que pudo al <i>Cuzco</i>.	32v-33r	169-170
Charcas	Benia con Piçarro Diego Çenteno, vezino de las <b>Charcas</b>; pidio liçençia a Gonçalo Piçarro para se volver a su casa con sus amigos reçivieronlo por governador y pidieronle fianças que no haria agravios a nayde y ansi las dio.	34r	172
Charcas	pues como Diego Çenteno se bolviese a los <b>Charcas</b> a do hera vezino y obiese quedado Piçarro a un Almendras por corregidor, matolo Diego Çenteno y alço bandera por Su Magestad y en el <i>Cuzco</i> avia quedado a Toro por corregidor y como lo supiese que se avia alzado Çenteno y [que] avia muerto al Almendras, hizo gente y fue sobre el. Avianse llegado con Diego Çenteno algunos soldados de los que avian ydo a <i>Chile</i> con Almagro que despues de la vatalla de <i>Chupas</i> avian entrado con Diego de Roxas por una <i>provinçia</i> que se dize <i>Tucuman</i> que confina con el rio de La Plata porque el governador Vaca de Castro le probeyo de capitan y murio el Roxas alla y toda la gente se salia desbaratada y mal proveyda y como llegase todo del <i>Cuzco</i> fueronse retrayendo haçia el repartimiento de Diego Çenteno que se llama La <i>Tutora</i> y bolviose Toro al <i>Cuzco</i>.	36r	176
Charcas	Tanbien Diego Zenteno en los <b>Charcas</b> estorvaba no truxesen al tirano Gonçalo Piçarro dineros de <i>Porco</i>.	36v	177
Charcas	Salio Diego Çenteno y fuese [a] <i>Ariquipa</i>. Juntaronse con el todos los vezinos y un Billegas questava por corregidor. Vinieron de los <b>Charcas</b> vezinos y soldados y del <i>Cuzco</i> y de <i>Guamanga</i> mucha gente y se ajuntaron con Çenteno porque todo el corregidor del <i>Cuzco</i> lo avia muerto su suegro sobre çierta pasion que entrellos avia	39v	184
charcas'	Cesaria magestad: si alli ubiera cavalleros temerosos de dios y de sus conçençias que nos favoresçieran a los vezinos y metieran paz y tomaran a Hernando Piçarro y le trujeran a la <i>çiudad</i> de Los Reyes y al governador su hermano y les hiçieran que sustentaran el conçierto y ovedezieran vuestra provision y deshiçieran aquel real y ansimismo tomaran Almagro y le trujeran juntamente preso y a su gente la enbiaran a do estava conzertado a los <b>charcas</b> se hiçiera mui gran serviçio a dios y a vuestra magestad ni oviera avido muertes de honbres y rovos a pobres ni rebiliones tiranos ni alborotos ni destruiçion de aquel reyno	25v - 26r	155 - 156
charcas'	fue ocasión de destruir aquel misero bando de Almagro y favoresçer a los mas culpados poblo el governador Piçarro muchos de sus amigos en el <i>Cuzco</i> y los <b>charcas</b> que avia poblado Hernando Piçarro, <i>Ariquipa</i> o a <i>Guamanga</i>, <i>chachapoyas</i> La Culata y en <i>Quito</i> y en Trujillo entremetio algunos y en San Miguel de sus amigos de los que avian sido con el en la vatalla	29v	163
charque	Mando haçer junto [a] aquellas <i>casas</i> en lo alto en la sierra unas como camarillas [sic por <i>depositos</i>] por su orden por toda la sierra para depositar y poner lana, ropa <i>ojotas</i> <i>guaracas</i> y otras cosas que en las <i>provinçias</i>pudiesen aver carne seca que ellos llaman <b>charque</b>, <i>papas secas</i>  que ellos llaman - <i>chuño</i>, <i>oca</i>, <i>maiz</i> de todas las cosas que en las <i>provinçias</i> avia haçia poner en aquellos <i>depositos</i>	44r-44v	193-194
chaski wasi	Puso otra orden [el governador] y mando que se pusiesen por los <i>caminos reales</i> de trecho a trecho como dos tiros de arcabuz unas casillas [sic por <b>chaski wasi</b>] a do estubiese un <i>indio</i> para portador de cartas y queste <i>yndio</i> o <i>indios</i> de la <i>probinçia</i> o <i>probinçias</i> estubiesen sienpre aunque estubiesen en despoblados para llebar mensaxe hasta el cavo del <i>reyno</i> de lo que el mandase y proveyese	44v	194
chichas	saliose Hernando Piçarro del <i>Cuzco</i> y fuese a las <i>Charcas</i> y dio de comer alla a sus amigos y tomo la mina de <i>Porco</i> para si y los señores <b>[c]hichas</b> que dizen aver mas de quinçe mil <i>yndios</i> 	28v	161
chichas	y como [Diego de Alvarado] no pudo allar escrivano que lo osase hacer  y testigos que osasen jurar contra los Piçarros y tomada la governaçion de Almagro y repartida en sus enemigos y que avia tomado la mina de <i>Porco</i> y los <i>yndios</i> <b>chichas</b> para si bisto todos sus amigos corridos e perseguidos ni del conçierto ni de la provision no allava testigos que osasen dezir ninguna cosa ni escrivano que le diese testimonio y como hombre aborrido con solo el testamento del adelantado como dexava vuestra magestad por hijo heredero un millon de oro de partija y por ynteres de aquella moneda y agravios al <i>inga</i> hechos avian muerto a su governador, se bino a pedir justiçia a su magestad y como su magestad lo rimitiese a sus oydores y el no pudo alcançar justiçia i Hernando Piçarro truxese tantas ynformaçiones y con los sobornos y dadivas que les dava Hernando Piçarro y el governador su hermano enviaba de alla y prometia de les ynviar	29r	162
Chile	Pues como ubiese ido a España rico un clerigo Soza y entendiese que Su Magestad daba liçençia a Hernando Piçarro que volviese al <i>reyno</i> de <i>Peru</i> porque hera hombre de malas entrañas y podria venir mucho daño a estos <i>reinos</i> por su causa pues, como el Marqués [Francisco Pizarro] se bajase del <i>Cusco</i> a la <i>çibdad</i> de Los Reyes y hallase mucha gente y caballeros, a todos los que heran de su tierra remediaba, como a Garçilaso de la Vega dio la entrada a la baya de Jabateus y Çahera a La Culata y a Francisco de Chaves enbio a San Miguel que hiziese gente y se metiese en los Bracamoros[sic por <i>Pacamuru</i>] y [a] Alonso de Albara[do] embio a rio <i>Chachapoias</i>; y toda la demas que quedo dio licencia que se fuesen al <i>Cusco</i> para ir con Almagro a <b>Chile</b> y desta manera sustentaba la tierra muy quietamente.	17r	138
Chile	porque no le llevasen al <i>inga</i> Almagro al <b>Chile</b> porque entendio averle prometido el <i>inga</i> a Almagro mas cantidad de oro que lo que <i>Atabalipa</i> avia dado en <i>Cajamaica</i> y todo en texuelos de oro	17v	139
Chile	y ansi se fue Almagro a <b>Chile</b>	17v	139
Chile	y como Almagro fuese ido a <b>Chile</b> [informo a Su Magestad] que tenia notiçia como Pedro de Mendoça entraba por el Rio de la Plata y la governacion de <b>Chile</b> y el <i>Peru</i> confinaban juntos, que Su Magestad proveyese a qualquier dellos no se entrometiesen en lo que cualquier dellos tuviera poblado y pazificado	18r	140
Chile	pues como Almagro llego a <b>Chile</b> envio a saver de toda la tierra sus capitanes y el quedose en los pueblos de paz.	18r	140
Chile	Como llegase Juan de Espinosa con las provisiones de governador para el adelantado Almagro tomolas Juan de Herraga [sic por Herrada] y llevoselas a <b>Chile</b>.	20v	145
Chile	como llegase la nueva a <b>Chile</b> de la rebelión de <i>MangoInga</i> en el <i>Peru</i> y mostrasen los <i>yndios</i> una cabeza de un hombre muerto con canas paresçia al governador Piçarro un fili - pillo <i>lengua yndio</i> propuso de se levantar con la tierra y matar a Almagro y a toda su gente. Como se entendiese la bellaqueria, hizieron justiçia de él y de otros bellacos como él.	20v	145
Chile	tenian noticias ser muerto el governador Piçarro y tomada toda la tierra de los <i>naturales<i> y tomando <i>lengua de los yndios</i> para bolverse por los llanos por no bolver por los puertos de niebe y sierras por donde avia ydo tuvo muy grande ardi [sic] a la buelta que sabido aver poca agua por los <i>caminos</i> embio <i>yndios</i> con españoles que abriesen los poços / del agua y encamina su gente de doze en doze con su servicio por que fuesen proueidos de agua porque el quiso quedarse en <b>Chile</b> con alguna gente	20v-21r	145-146
